NUMBER,SENTENCE,ACTUAL_VALUE,PREDICTED_VALUE
613,"for example, you must not use the Services to harm, threaten, or harass another person, organization or Box and/or to build a similar service or website.",2,2
614,"STARY does not guarantee the availability, delivery, performance, pricing, or punctuality of any Content or other Intellectual Property appearing in our Site, Application and/or Services.",0,0
615,"The official text is the English version of the website.",0,0
616,"NOMO CAM’s failure to enforce any right or failure to act any Provisions in the Terms of Use will not constitute a waiver of the aforesaid rights nor a waiver of any rights.",0,0
617,"You hereby agree that bilibili may send you notifications and other relevant messages via email, application, web page or other legitimate means.",3,1
618,"Offers and Transactions",0,0
619,"We may limit the number of Tokens you can purchase or receive within certain periods of time, or implement other restrictions on the receipt or use of Tokens.",1,1
620,"You may not exceed the maximum number of allowed Guests.",2,2
621,"By using the WEBTOON Website, WEBTOON App, or downloading and/or otherwise using our webpages, platform or content (collectively, the “Services”), and/or clicking on a button indicating your consent when this option Is made available to you, you hereby agree to the (1) WEBTOON Terms of Use, (2) Privacy Policy, (3) Community Policy and Uploading Guidelines, (4) Ad Revenue Sharing Program Terms of Service which are all incorporated herein by reference (collectively the ""Agreement"").",3,0
622,"THIS SECTION APPLIES TO ALL CONSUMERS AND PEOPLE WHO ACCEPTED THE TERMS OF THIS AGREEMENT.",0,0
623,"Except to the extent applicable law, if any, provides otherwise, this Agreement, any access to or use of the Website will be governed by the laws of the state of Pennsylvania, USA., excluding its conflict of law provisions, and the proper venue for any disputes arising out of or relating to any of the same will be the state and federal courts located in Philadelphia County, Pennsylvania.",0,0
624,"Canva does not warrant that your use of the Service will be uninterrupted or error-free.",0,0
625,"The headings used in this agreement are included for convenience only and will not limit or otherwise affect these Terms.",0,0
626,"Availability of Purchased Digital Content.",0,0
627,"The Privacy Notice may be updated from time to time so you should check it regularly.",3,3
628,"a) THE USE OF SKETCHBOOK CAFE SERVICES AND SOFTWARE ARE AT THE SOLE RISK BY YOU.",3,3
629,"Other refund policies can be specified by the agreement between the Visitor and the Organizer.",0,0
630,"General terms · Notification procedures and changes to these Terms We reserve the right to determine the form and means of providing notifications to you, and you agree to receive legal notices electronically if that’s what we decide.",1,0
631,"If we do so, we will give you a pro-rated refund of your subscription fee (if any); however, if you violate any of the terms of this Agreement, your rights under this Agreement will automatically terminate without notice.",0,0
632,"According to relevant laws and regulations, NOMO CAM reminds you that the provider which provide the Content (“Provider”, the Content is defined below) shall be liable for any text, news, material, music, picture, graphic, video, message or other information (“Content” or “Contents”) posted or uploaded through NOMO CAM, whether in public or private.",3,0
633,"In addition, you must be in good standing and not an individual that has been previously barred from receiving SBC's Services under the laws and statutes of the United States or other applicable jurisdiction.",3,0
634,"Promotional Code must be accepted before the applicable expiration date advertised, if any.",3,0
635,"The Netflix service, including the content library, is regularly updated.",0,0
636,"All provisions of this Agreement which, by their nature, should survive termination will survive termination — including, without limitation: ownership provisions, warranty disclaimers, indemnity, and limitations of liability.",0,0
637,"We may exercise this right on a case-by-case basis.",1,1
638,"By submitting any Feedback, You agree that Your disclosure is gratuitous, unsolicited and without restriction and will not place HackerRank under any fiduciary or other obligation, and that We are free to use the Feedback without any additional compensation to You, and/or to disclose the Feedback on a non-confidential basis or otherwise to anyone.",3,3
