CLASSES,SENTENCES,PROVIDER,VALUE
PROHIBITION,"Further, unless both you and Academia.edu otherwise agree in writing, the arbitrator may not consolidate more than one person's claims, and may not otherwise preside over any form of any class or representative proceeding.",AcademiaInc,2
OTHERS,"If this specific paragraph is held unenforceable, then the entirety of this “Dispute Resolution” section will be deemed void. Except as provided in the preceding sentence, this “Dispute Resolution” section will survive any termination of these Terms.",AcademiaInc,0
OTHERS,Arbitration Rules and Governing Law.,AcademiaInc,0
OTHERS,"The arbitration will be administered by the American Arbitration Association (“AAA”) in accordance with the Commercial Arbitration Rules and the Supplementary Procedures for Consumer Related Disputes (the “AAA Rules”) then in effect, except as modified by this “Dispute Resolution” section.",AcademiaInc,0
OTHERS,(The AAA Rules are available at www.adr.org/arb_med or by calling the AAA at 1-800-778-7879.),AcademiaInc,0
OTHERS,The Federal Arbitration Act will govern the interpretation and enforcement of this Section.,AcademiaInc,0
OTHERS,Arbitration Process.,AcademiaInc,0
DUTY,A party who desires to initiate arbitration must provide the other party with a written Demand for Arbitration as specified in the AAA Rules.,AcademiaInc,3
OTHERS,(The AAA provides a form Demand for Arbitration at http://www.adr.org/aaa/ShowPDF?doc=ADRSTG_004175 and a separate form for California residents at http://www.adr.org/aaa/ShowPDF?doc=ADRSTG_015822.),AcademiaInc,0
OTHERS,The arbitrator will be either a retired judge or an attorney licensed to practice law and will be selected by the parties from the AAA’s roster of arbitrators.,AcademiaInc,0
OTHERS,"If the parties are unable to agree upon an arbitrator within seven (7) days of delivery of the Demand for Arbitration, then the AAA will appoint the arbitrator in accordance with the AAA Rules.",AcademiaInc,0
OTHERS,Arbitration Location and Procedure.,AcademiaInc,0
OTHERS,"Unless you and Academia.edu otherwise agree, the arbitration will be conducted in the county where you reside.",AcademiaInc,0
OTHERS,"If your claim does not exceed $10,000, then the arbitration will be conducted solely on the basis of the documents that you and Academia.edu submit to the arbitrator, unless you request a hearing or the arbitrator determines that a hearing is necessary.",AcademiaInc,0
OTHERS,"If your claim exceeds $10,000, your right to a hearing will be determined by the AAA Rules.",AcademiaInc,0
OTHERS,"Subject to the AAA Rules, the arbitrator will have the discretion to direct a reasonable exchange of information by the parties, consistent with the expedited nature of the arbitration.",AcademiaInc,0
OTHERS,Arbitrator’s Decision.,AcademiaInc,0
OTHERS,The arbitrator will render an award within the time frame specified in the AAA Rules. The arbitrator’s decision will include the essential findings and conclusions upon which the arbitrator based the award,AcademiaInc,0
PERMISSION,Judgment on the arbitration award may be entered in any court having jurisdiction thereof.,AcademiaInc,1
DUTY,The arbitrator’s award damages must be consistent with the terms of the “Limitation of Liability” section above as to the types and the amounts of damages for which a party may be held liable.,AcademiaInc,3
PERMISSION,The arbitrator may award declaratory or injunctive relief only in favor of the claimant and only to the extent necessary to provide relief warranted by the claimant’s individual claim.,AcademiaInc,1
OTHERS,"If you prevail in arbitration you will be entitled to an award of attorneys’ fees and expenses, to the extent provided under applicable law.",AcademiaInc,0
OTHERS,"Academia.edu will not seek, and hereby waives all rights it may have under applicable law to recover, attorneys’ fees and expenses if it prevails in arbitration.",AcademiaInc,0
OTHERS,Fees.,AcademiaInc,0
OTHERS,"Your responsibility to pay any AAA filing, administrative and arbitrator fees will be solely as set forth in the AAA Rules.",AcademiaInc,0
OTHERS,"However, if your claim for damages does not exceed $75,000, Academia.edu will pay all such fees unless the arbitrator finds that either the substance of your claim or the relief sought in your Demand for Arbitration was frivolous or was brought for an improper purpose (as measured by the standards set forth in Federal Rule of Civil Procedure 11(b)).",AcademiaInc,0
OTHERS,Changes.,AcademiaInc,0
PERMISSION,"Notwithstanding the provisions of the “Modification” section above, if Academia.edu changes this “Dispute Resolution” section after the date you first accepted these Terms (or accepted any subsequent changes to these Terms), you may reject any such change by sending us written notice (including by email to feedback@academia.edu) within 30 days of the date such change became effective, as indicated in the “Last Updated Date” above or in the date of Academia.edu’s email to you notifying you of such change.",AcademiaInc,1
DUTY,"By rejecting any change, you are agreeing that you will arbitrate any Dispute between you and Academia.edu in accordance with the provisions of this “Dispute Resolution” section as of the date you first accepted these Terms (or accepted any subsequent changes to these Terms).",AcademiaInc,3
OTHERS,General,AcademiaInc,0
OTHERS,The failure of Academia.edu to enforce any right or provision of these Terms will not constitute a waiver of future enforcement of that right or provision. The waiver of any such right or provision will be effective only if in writing and signed by a duly authorized representative of Academia.edu.,AcademiaInc,0
OTHERS,"Except as expressly set forth in these Terms, the exercise by either party of any of its remedies under these Terms will be without prejudice to its other remedies under these Terms or otherwise.",AcademiaInc,0
OTHERS,"If for any reason a court of competent jurisdiction finds any provision of these Terms invalid or unenforceable, that provision will be enforced to the maximum extent permissible and the other provisions of these Terms will remain in full force and effect.",AcademiaInc,0
OTHERS,Contacting Academia.edu,AcademiaInc,0
DUTY,"If you have any questions about these Terms, please contact Academia.edu at feedback@academia.edu.",AcademiaInc,3
OTHERS,Legal terms,Airbnb,0
OTHERS,Terms of Service,Airbnb,0
OTHERS,"If your country of residence or establishment is within the European Economic Area (“EEA”), Switzerland or the United Kingdom, the Terms of Service for European Users apply to you.",Airbnb,0
OTHERS,"If your country of residence or establishment is outside of the EEA, Switzerland, and the United Kingdom, the Terms of Service for Non-European Users apply to you.",Airbnb,0
OTHERS,Terms of Service for Non-European Users,Airbnb,0
OTHERS,Section 23 of these Terms contains an arbitration agreement and class action waiver that apply to all claims brought against Airbnb in the United States. Please read them carefully.,Airbnb,0
OTHERS,"Last Updated: February 10, 2022",Airbnb,0
OTHERS,Thank you for using Airbnb!,Airbnb,0
OTHERS,"These Terms of Service (“Terms”) are a binding legal agreement between you and Airbnb that govern your right to use the websites, applications, and other offerings from Airbnb (collectively, the “Airbnb Platform”).",Airbnb,0
OTHERS,"When used in these Terms, “Airbnb,” “we,” “us,” or “our” refers to the Airbnb entity set out on Schedule 1 with whom you are contracting.",Airbnb,0
OTHERS,"The Airbnb Platform offers an online venue that enables users (“Members”) to publish, offer, search for, and book services. Members who publish and offer services are “Hosts” and Members who search for, book, or use services are “Guests.”",Airbnb,0
OTHERS,"Hosts offer accommodations (“Accommodations”), activities, excursions, and events (“Experiences”), and a variety of travel and other services (collectively, “Host Services,” and each Host Service offering, a “Listing”).",Airbnb,0
DUTY,"You must register an account to access and use many features of the Airbnb Platform, and must keep your account information accurate.",Airbnb,3
OTHERS,"As the provider of the Airbnb Platform, Airbnb does not own, control, offer or manage any Listings or Host Services.",Airbnb,0
OTHERS,"Airbnb is not a party to the contracts entered into directly between Hosts and Guests, nor is Airbnb a real estate broker, travel agency, or insurer. Airbnb is not acting as an agent in any capacity for any Member, except as specified in the Payments Terms of Service (“Payment Terms”).",Airbnb,0
OTHERS,To learn more about Airbnb’s role see Section 16.,Airbnb,0
OTHERS,"We maintain other terms and policies that supplement these Terms like our Privacy Policy, which describes our collection and use of personal data, and our Payments Terms, which govern any payment services provided to Members by the Airbnb payment entities (collectively ""Airbnb Payments"").",Airbnb,0
DUTY,"If you are a Host, you are responsible for understanding and complying with all laws, rules, regulations and contracts with third parties that apply to your Host Services.",Airbnb,3
OTHERS,Guest Terms,Airbnb,0
OTHERS,Our Mission.,Airbnb,0
OTHERS,Our mission is to create a world where you can belong anywhere.,Airbnb,0
OTHERS,"From cabins to castles to cooking classes, browse through millions of Listings to find the ones that fit the way you like to travel.",Airbnb,0
OTHERS,"Learn more about a Listing by reviewing the description and photos, the Host profile, and Guest reviews.",Airbnb,0
OTHERS,"If you have questions, just message the Host.",Airbnb,0
